------------------------------------------------------------------
          COSMO v0.8.5 - A Quadratic Objective Conic Solver
                         Michael Garstka
                University of Oxford, 2017 - 2022
------------------------------------------------------------------

Problem:  x ∈ R^{2868},
          constraints: A ∈ R^{5531x2868} (14910 nnz),
          matrix size to factor: 8399x8399,
          Floating-point precision: Float64
Sets:     ZeroSet of dim: 2903
          DensePsdConeTriangle of dim: 2628 (72x72)
Settings: ϵ_abs = 1.0e-05, ϵ_rel = 1.0e-05,
          ϵ_prim_inf = 1.0e-04, ϵ_dual_inf = 1.0e-04,
          ρ = 0.1, σ = 1e-06, α = 1.6,
          max_iter = 1000000,
          scaling iter = 10 (on),
          check termination every 25 iter,
          check infeasibility every 40 iter,
          KKT system solver: QDLDL
Acc:      Anderson Type2{QRDecomp},
          Memory size = 15, RestartedMemory,	
          Safeguarded: true, tol: 2.0
Setup Time: 858.53ms

Iter:	Objective:	Primal Res:	Dual Res:	Rho:
4025	 2.3008e+02	1.1649e+03	3.4245e-02	2.2861e-06
4050	 2.3002e+02	1.3870e+03	3.3599e-02	2.2861e-06
4075	 2.2958e+02	1.1658e+03	3.4016e-02	2.2861e-06
4100	 2.2922e+02	1.1666e+03	3.3483e-02	2.2861e-06
4125	 2.2882e+02	1.1672e+03	3.2766e-02	2.2861e-06
4150	 2.2823e+02	1.1675e+03	3.1389e-02	2.2861e-06
4175	 2.2755e+02	1.1690e+03	3.0369e-02	2.2861e-06
4200	 2.2736e+02	1.1692e+03	3.0456e-02	2.2861e-06
4225	 2.2699e+02	1.1696e+03	3.0139e-02	2.2861e-06
4250	 2.2597e+02	1.1711e+03	2.8033e-02	2.2861e-06
4275	 2.2596e+02	1.1711e+03	2.8764e-02	2.2861e-06
4300	 2.2584e+02	1.1709e+03	2.9281e-02	2.2861e-06
4325	 2.2581e+02	1.1710e+03	2.7786e-02	2.2861e-06
4350	 2.2576e+02	1.1709e+03	2.7632e-02	2.2861e-06
4375	 2.2560e+02	2.6394e+03	2.7334e-02	2.2861e-06
4400	 2.2549e+02	1.1710e+03	2.7784e-02	2.2861e-06
4425	 2.2512e+02	1.1715e+03	2.6685e-02	2.2861e-06
4450	 2.2473e+02	1.1715e+03	2.5944e-02	2.2861e-06
4475	 2.2364e+02	1.1723e+03	2.4647e-02	2.2861e-06
4500	 2.2357e+02	1.1721e+03	2.4218e-02	2.2861e-06
4525	 2.2359e+02	1.1719e+03	2.4026e-02	2.2861e-06
4550	 2.2360e+02	1.1725e+03	2.3524e-02	2.2861e-06
4575	 2.2355e+02	1.1721e+03	2.3600e-02	2.2861e-06
4600	 2.2328e+02	1.1723e+03	2.4188e-02	2.2861e-06
4625	 2.2266e+02	2.0943e+03	2.2401e-02	2.2861e-06
4650	 2.2242e+02	1.1721e+03	2.1929e-02	2.2861e-06
4675	 2.2225e+02	1.1718e+03	2.1707e-02	2.2861e-06
4700	 2.2216e+02	1.1717e+03	2.1689e-02	2.2861e-06
4725	 2.2172e+02	1.5304e+03	2.0997e-02	2.2861e-06
4750	 2.2106e+02	1.1714e+03	2.0218e-02	2.2861e-06
4775	 2.2059e+02	1.1709e+03	1.9669e-02	2.2861e-06
4800	 2.2029e+02	1.1709e+03	1.9153e-02	2.2861e-06
4825	 2.2014e+02	1.1707e+03	1.8926e-02	2.2861e-06
4850	 2.1990e+02	1.1702e+03	1.8672e-02	2.2861e-06
4875	 2.1886e+02	1.1692e+03	1.7226e-02	2.2861e-06
4900	 2.1809e+02	1.1685e+03	1.6043e-02	2.2861e-06
4925	 2.1808e+02	1.1683e+03	1.6211e-02	2.2861e-06
4950	 2.1784e+02	1.1679e+03	1.5809e-02	2.2861e-06
4975	 2.1633e+02	1.1630e+03	1.3713e-02	2.2861e-06
5000	 2.1625e+02	1.1645e+03	1.3690e-02	2.2861e-06
5025	 2.1613e+02	1.1647e+03	1.3445e-02	2.2861e-06
5050	 2.1597e+02	1.1640e+03	1.3186e-02	2.2861e-06
5075	 2.1566e+02	1.1630e+03	1.2755e-02	2.2861e-06
5100	 2.1537e+02	1.1623e+03	1.2270e-02	2.2861e-06
5125	 2.1368e+02	1.4206e+03	9.4890e-03	2.2861e-06
5150	 2.1360e+02	1.1569e+03	9.6335e-03	2.2861e-06
5175	 2.1353e+02	1.1567e+03	9.6622e-03	2.2861e-06
5200	 2.1329e+02	1.1556e+03	9.2368e-03	2.2861e-06
5225	 2.1309e+02	1.1548e+03	8.9696e-03	2.2861e-06
5250	 2.1258e+02	1.1532e+03	8.2853e-03	2.2861e-06
5275	 2.1230e+02	1.1516e+03	7.7714e-03	2.2861e-06
5300	 2.1184e+02	1.1499e+03	7.1780e-03	2.2861e-06
5325	 2.1122e+02	1.1477e+03	6.2366e-03	2.2861e-06
5350	 2.1097e+02	1.1469e+03	6.9365e-03	2.2861e-06
